Stock,Loss,RMSE
DISCA,0.0007140594534575939,0.8544996522197521
DISCK,0.000802868977189064,0.8768247111273305
DLR,0.002898784587159753,3.637993795073279
DLTR,0.0021043475717306137,3.780560396057646
DNB,0.0007622233242727816,2.249531174407928
DOV,0.0013454087311401963,2.090881750153577
DOW,0.0009350260952487588,1.0843026156457767
DPS,0.0010579538065940142,2.3311523989602936
DRI,0.0023777266032993793,2.0007021968155216
DTE,0.000608843460213393,1.4459404908217246
DUK,0.0009300547535531223,1.2970311886470167
DVA,0.0012441921280696988,1.9687688280435764
DVN,0.00046005815966054797,1.5968752068763215
EA,0.0016046870732679963,2.982758962725455
EBAY,0.0012587893288582563,0.8796745719009137
ECL,0.0022386442869901657,3.9138411179710006
ED,0.001003060955554247,1.2671626378876106
EFX,0.0008836769266054034,3.229805478952665
